-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
26.75,77.25,T2M_MAX,1981,   24.35,   29.78,   33.45,   41.51,   43.94,   44.59,   32.97,   32.46,   36.04,   35.11,   28.70,   24.80,   33.97
26.75,77.25,T2M_MAX,1982,   23.84,   25.28,   30.93,   38.40,   39.32,   43.24,   38.73,   31.53,   33.25,   34.24,   28.85,   25.41,   32.78
26.75,77.25,T2M_MAX,1983,   23.59,   26.22,   33.52,   36.18,   41.92,   43.24,   38.04,   32.22,   32.45,   31.85,   28.25,   24.83,   32.72
26.75,77.25,T2M_MAX,1984,   23.22,   26.50,   36.93,   40.54,   45.59,   43.96,   37.09,   34.61,   31.84,   33.63,   29.80,   26.42,   34.19
26.75,77.25,T2M_MAX,1985,   23.65,   30.03,   37.21,   40.19,   44.40,   43.78,   36.14,   32.36,   33.52,   30.25,   28.82,   25.27,   33.80
26.75,77.25,T2M_MAX,1986,   23.35,   26.13,   33.93,   40.62,   43.07,   42.75,   35.96,   34.08,   36.81,   35.58,   32.06,   24.88,   34.12
26.75,77.25,T2M_MAX,1987,   24.56,   29.52,   34.55,   40.43,   39.36,   44.35,   41.52,   39.53,   39.25,   36.15,   32.01,   26.52,   35.66
26.75,77.25,T2M_MAX,1988,   26.69,   30.69,   34.70,   42.00,   45.83,   44.04,   35.26,   32.45,   35.23,   34.96,   30.69,   26.83,   34.94
26.75,77.25,T2M_MAX,1989,   24.33,   28.81,   33.75,   39.76,   44.31,   42.84,   38.68,   36.46,   35.59,   36.17,   31.68,   26.10,   34.89
26.75,77.25,T2M_MAX,1990,   28.55,   27.28,   32.21,   40.19,   42.87,   43.21,   34.73,   32.42,   32.47,   33.07,   29.97,   25.93,   33.59
26.75,77.25,T2M_MAX,1991,   25.20,   29.46,   35.06,   39.37,   44.50,   43.59,   40.42,   34.05,   32.97,   34.02,   28.86,   25.73,   34.46
26.75,77.25,T2M_MAX,1992,   25.46,   27.67,   33.90,   38.98,   43.06,   45.03,   37.61,   32.77,   32.03,   32.63,   28.58,   26.61,   33.70
26.75,77.25,T2M_MAX,1993,   25.64,   30.61,   32.28,   39.70,   44.83,   42.71,   36.68,   37.37,   32.27,   33.88,   30.87,   26.81,   34.48
26.75,77.25,T2M_MAX,1994,   26.13,   28.01,   37.22,   38.40,   44.59,   43.30,   33.83,   31.63,   32.47,   34.15,   30.38,   27.08,   33.96
26.75,77.25,T2M_MAX,1995,   23.54,   28.86,   32.95,   38.98,   43.53,   44.33,   38.22,   31.23,   31.95,   32.85,   29.71,   25.71,   33.50
26.75,77.25,T2M_MAX,1996,   24.79,   28.47,   35.32,   40.46,   42.89,   41.50,   36.15,   31.84,   32.29,   31.60,   29.70,   25.83,   33.40
26.75,77.25,T2M_MAX,1997,   24.64,   29.26,   33.68,   37.36,   41.07,   40.18,   38.47,   34.48,   35.45,   31.47,   28.43,   21.99,   33.05
26.75,77.25,T2M_MAX,1998,   23.40,   26.98,   32.52,   40.37,   44.60,   42.20,   35.14,   34.35,   33.87,   32.61,   29.47,   26.88,   33.55
26.75,77.25,T2M_MAX,1999,   24.36,   29.03,   36.22,   42.54,   43.39,   42.98,   39.32,   35.65,   34.98,   34.67,   31.93,   26.79,   35.17
26.75,77.25,T2M_MAX,2000,   26.47,   26.59,   33.64,   42.38,   43.75,   42.00,   36.51,   36.64,   38.53,   38.16,   32.16,   27.72,   35.39
26.75,77.25,T2M_MAX,2001,   25.28,   29.74,   34.50,   39.63,   43.55,   40.50,   34.86,   35.06,   38.44,   36.25,   31.79,   27.18,   34.74
26.75,77.25,T2M_MAX,2002,   23.95,   27.64,   35.07,   41.50,   45.23,   43.68,   43.19,   36.66,   35.67,   36.13,   31.38,   27.10,   35.64
26.75,77.25,T2M_MAX,2003,   23.78,   27.21,   34.10,   40.98,   42.98,   42.54,   35.89,   34.65,   33.51,   33.96,   30.09,   25.66,   33.80
26.75,77.25,T2M_MAX,2004,   23.99,   29.75,   37.89,   41.68,   42.84,   41.70,   38.76,   32.66,   35.07,   31.96,   30.15,   25.76,   34.35
26.75,77.25,T2M_MAX,2005,   23.07,   27.62,   34.55,   38.74,   42.12,   43.27,   34.23,   36.90,   35.60,   35.22,   31.40,   25.89,   34.07
26.75,77.25,T2M_MAX,2006,   26.37,   33.73,   33.28,   40.54,   44.10,   39.51,   35.95,   33.96,   36.38,   36.15,   31.10,   26.81,   34.81
26.75,77.25,T2M_MAX,2007,   25.98,   27.86,   32.84,   41.91,   43.32,   41.71,   36.68,   34.74,   35.46,   35.02,   31.77,   25.93,   34.45
26.75,77.25,T2M_MAX,2008,   23.76,   27.49,   36.47,   39.60,   41.63,   37.26,   33.73,   32.43,   33.65,   35.06,   30.07,   27.79,   33.26
26.75,77.25,T2M_MAX,2009,   25.86,   30.06,   35.39,   40.27,   43.56,   43.79,   38.65,   37.22,   36.57,   33.24,   28.45,   25.22,   34.87
26.75,77.25,T2M_MAX,2010,   24.69,   28.48,   37.29,   42.34,   44.44,   43.12,   36.83,   33.35,   31.39,   32.91,   27.95,   23.35,   33.86
26.75,77.25,T2M_MAX,2011,   22.33,   27.36,   34.53,   38.86,   43.91,   40.63,   34.04,   31.60,   31.25,   33.43,   30.56,   25.05,   32.81
